root_cause,ticker,fiscal_year,report_date,accession_number,root_metric,root_metric_status,root_metric_value,root_metric_validation_reason,root_metric_selected_concept,downstream_metrics_affected
current_debt::zero_inference_earliest_bucket_nonzero,GOOGL,2021,2021-12-31,0001652044-22-000019,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): השורה המוקדמת ביותר בלוח הפירעונות ('2022') אינה אפס (187000000.0) — לא ניתן לאשר שאין סכום לפירעון תוך 12 חודשים.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
current_debt::zero_inference_earliest_bucket_nonzero,GOOGL,2022,2022-12-31,0001652044-23-000016,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): השורה המוקדמת ביותר בלוח הפירעונות ('2023') אינה אפס (221000000.0) — לא ניתן לאשר שאין סכום לפירעון תוך 12 חודשים.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
current_debt::zero_inference_earliest_bucket_nonzero,GOOGL,2023,2023-12-31,0001652044-24-000022,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): השורה המוקדמת ביותר בלוח הפירעונות ('2024') אינה אפס (1299000000.0) — לא ניתן לאשר שאין סכום לפירעון תוך 12 חודשים.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
current_debt::zero_inference_role_not_found,META,2020,2020-12-31,0001326801-21-000014,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
current_debt::zero_inference_role_not_found,META,2021,2021-12-31,0001326801-22-000018,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
current_debt::zero_inference_role_not_found,NVDA,2020,2020-01-26,0001045810-20-000010,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,,adjusted_net_debt;average_invested_capital;current_debt;invested_capital;roic;total_debt
long_term_debt::ancestry_confirmed_absent,META,2020,2020-12-31,0001326801-21-000014,long_term_debt,REVIEW_REQUIRED,,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",,adjusted_net_debt;average_invested_capital;invested_capital;long_term_debt;roic;total_debt
long_term_debt::ancestry_confirmed_absent,META,2021,2021-12-31,0001326801-22-000018,long_term_debt,REVIEW_REQUIRED,,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",,adjusted_net_debt;average_invested_capital;invested_capital;long_term_debt;roic;total_debt
long_term_debt::ancestry_confirmed_absent,PANW,2023,2023-07-31,0001327567-23-000024,long_term_debt,REVIEW_REQUIRED,,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",,adjusted_net_debt;average_invested_capital;invested_capital;long_term_debt;roic;total_debt
pretax_income::row_not_found,GOOGL,2021,2021-12-31,0001652044-22-000019,pretax_income,REVIEW_REQUIRED,,לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי התואם לכללי ה-Role של המדד.,,effective_tax_rate;nopat;pretax_income;roic
pretax_income::row_not_found,GOOGL,2022,2022-12-31,0001652044-23-000016,pretax_income,REVIEW_REQUIRED,,לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי התואם לכללי ה-Role של המדד.,,effective_tax_rate;nopat;pretax_income;roic
pretax_income::row_not_found,GOOGL,2023,2023-12-31,0001652044-24-000022,pretax_income,REVIEW_REQUIRED,,לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי התואם לכללי ה-Role של המדד.,,effective_tax_rate;nopat;pretax_income;roic
current_debt_prior::zero_inference_prior_bucket_unreliable,META,2022,2022-12-31,0001326801-23-000013,current_debt_prior,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא ניתן לחלץ ערך מהימן ויחיד עבור השורה המוקדמת ביותר בלוח הפירעונות ('2023 through 2026') — תנאי 2 לא הוכח.,,average_invested_capital;roic
current_debt_prior::zero_inference_prior_bucket_unreliable,META,2023,2023-12-31,0001326801-24-000012,current_debt_prior,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא ניתן לחלץ ערך מהימן ויחיד עבור השורה המוקדמת ביותר בלוח הפירעונות ('2024 through 2026') — תנאי 2 לא הוכח.,,average_invested_capital;roic
current_debt_prior::zero_inference_prior_bucket_unreliable,META,2024,2024-12-31,0001326801-25-000017,current_debt_prior,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא ניתן לחלץ ערך מהימן ויחיד עבור השורה המוקדמת ביותר בלוח הפירעונות ('2025 through 2026') — תנאי 2 לא הוכח.,,average_invested_capital;roic
