ticker,report_date,fiscal_year,downstream_metric,chain_path,root_metric,root_cause,root_reason,is_primary_root_item
ORCL,2021-05-31,2021,effective_tax_rate,effective_tax_rate,effective_tax_rate,effective_tax_rate::outside_plausible_range,"שיעור המס האפקטיבי המדווח (-0.05746595891991692) מחוץ לטווח הסביר [0, 1].",True
ORCL,2021-05-31,2021,nopat,nopat -> effective_tax_rate,effective_tax_rate,effective_tax_rate::outside_plausible_range,"שיעור המס האפקטיבי המדווח (-0.05746595891991692) מחוץ לטווח הסביר [0, 1].",False
ORCL,2021-05-31,2021,roic,roic -> nopat -> effective_tax_rate,effective_tax_rate,effective_tax_rate::outside_plausible_range,"שיעור המס האפקטיבי המדווח (-0.05746595891991692) מחוץ לטווח הסביר [0, 1].",False
META,2020-12-31,2020,current_debt,current_debt,current_debt,current_debt::zero_inference_role_not_found,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,True
META,2020-12-31,2020,long_term_debt,long_term_debt,long_term_debt,long_term_debt::ancestry_confirmed_absent,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",True
META,2020-12-31,2020,total_debt,total_debt -> current_debt,current_debt,current_debt::zero_inference_role_not_found,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,False
META,2020-12-31,2020,total_debt,total_debt -> long_term_debt,long_term_debt,long_term_debt::ancestry_confirmed_absent,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",False
META,2020-12-31,2020,adjusted_net_debt,adjusted_net_debt -> total_debt -> current_debt,current_debt,current_debt::zero_inference_role_not_found,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,False
META,2020-12-31,2020,adjusted_net_debt,adjusted_net_debt -> total_debt -> long_term_debt,long_term_debt,long_term_debt::ancestry_confirmed_absent,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",False
META,2020-12-31,2020,invested_capital,invested_capital -> total_debt -> current_debt,current_debt,current_debt::zero_inference_role_not_found,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,False
META,2020-12-31,2020,invested_capital,invested_capital -> total_debt -> long_term_debt,long_term_debt,long_term_debt::ancestry_confirmed_absent,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",False
